date,home_team,score,away_team
20-08-2023,Sassuolo,0 - 2,Atalanta
26-08-2023,Frosinone,2 - 1,Atalanta
02-09-2023,Atalanta,3 - 0,Monza
17-09-2023,Fiorentina,3 - 2,Atalanta
24-09-2023,Atalanta,2 - 0,Cagliari
27-09-2023,Verona,0 - 1,Atalanta
01-10-2023,Atalanta,0 - 0,Juventus
08-10-2023,Lazio,3 - 2,Atalanta
22-10-2023,Atalanta,2 - 0,Genoa
30-10-2023,Empoli,0 - 3,Atalanta
04-11-2023,Atalanta,1 - 2,Inter
12-11-2023,Udinese,1 - 1,Atalanta
25-11-2023,Atalanta,1 - 2,Napoli
04-12-2023,Torino,3 - 0,Atalanta
09-12-2023,Atalanta,3 - 2,Milan
18-12-2023,Atalanta,4 - 1,Salernitana
23-12-2023,Bologna,1 - 0,Atalanta
30-12-2023,Atalanta,? - ?,Lecce
21-08-2023,Bologna,0 - 2,Milan
27-08-2023,Juventus,1 - 1,Bologna
02-09-2023,Bologna,2 - 1,Cagliari
18-09-2023,Verona,0 - 0,Bologna
24-09-2023,Bologna,0 - 0,Napoli
28-09-2023,Monza,0 - 0,Bologna
01-10-2023,Bologna,3 - 0,Empoli
07-10-2023,Inter,2 - 2,Bologna
22-10-2023,Bologna,2 - 1,Frosinone
28-10-2023,Sassuolo,1 - 1,Bologna
03-11-2023,Bologna,1 - 0,Lazio
12-11-2023,Fiorentina,2 - 1,Bologna
27-11-2023,Bologna,2 - 0,Torino
03-12-2023,Lecce,1 - 1,Bologna
10-12-2023,Salernitana,1 - 2,Bologna
17-12-2023,Bologna,2 - 0,Roma
23-12-2023,Bologna,1 - 0,Atalanta
30-12-2023,Udinese,? - ?,Bologna
21-08-2023,Torino,0 - 0,Cagliari
28-08-2023,Cagliari,0 - 2,Inter
02-09-2023,Bologna,2 - 1,Cagliari
17-09-2023,Cagliari,0 - 0,Udinese
24-09-2023,Atalanta,2 - 0,Cagliari
27-09-2023,Cagliari,1 - 3,Milan
02-10-2023,Fiorentina,3 - 0,Cagliari
08-10-2023,Cagliari,1 - 4,Roma
22-10-2023,Salernitana,2 - 2,Cagliari
29-10-2023,Cagliari,4 - 3,Frosinone
05-11-2023,Cagliari,2 - 1,Genoa
11-11-2023,Juventus,2 - 1,Cagliari
26-11-2023,Cagliari,1 - 1,Monza
02-12-2023,Lazio,1 - 0,Cagliari
11-12-2023,Cagliari,2 - 1,Sassuolo
16-12-2023,Napoli,2 - 1,Cagliari
23-12-2023,Verona,2 - 0,Cagliari
30-12-2023,Cagliari,? - ?,Empoli
19-08-2023,Empoli,0 - 1,Verona
26-08-2023,Monza,2 - 0,Empoli
03-09-2023,Empoli,0 - 2,Juventus
17-09-2023,Roma,7 - 0,Empoli
24-09-2023,Empoli,0 - 1,Inter
27-09-2023,Empoli,1 - 0,Salernitana
01-10-2023,Bologna,3 - 0,Empoli
06-10-2023,Empoli,0 - 0,Udinese
23-10-2023,Fiorentina,0 - 2,Empoli
30-10-2023,Empoli,0 - 3,Atalanta
06-11-2023,Frosinone,2 - 1,Empoli
12-11-2023,Napoli,0 - 1,Empoli
26-11-2023,Empoli,3 - 4,Sassuolo
02-12-2023,Genoa,1 - 1,Empoli
11-12-2023,Empoli,1 - 1,Lecce
